,files
74,"['addition', 'upsurge', 'desert', 'locust', 'remains', 'alarming', 'east', 'africa', 'yemen', 'experience', 'acute', 'food', 'insecurity', 'owing', 'pandemic', 'schoolchildren', 'missing', 'free', 'school', 'meal', 'rely', 'measure', 'strengthen', 'food', 'production', 'distribution', 'taken', 'immediately', 'mitigate', 'minimize', 'impact', 'pandemic', 'estimated', 'world', 'population', 'affected', 'moderate', 'severe', 'food', 'insecurity', 'increase', 'owing', 'mainly', 'increase', 'food', 'insecurity', 'saharan', 'africa', 'latin', 'america', 'slightly', 'world', 'population', 'experienced', 'severe', 'food', 'insecurity', 'implying', 'reduction', 'quantity', 'food', 'consumed', 'extent', 'possibly', 'experienced', 'hunger', 'food_insecurity', 'food_production', 'world_population', 'severe_food', 'food_insecurity', 'saharan_africa', 'latin_america', 'world_population', 'severe_food']"
75,"['globally', 'child', 'affected', 'stunting', 'quarter', 'lived', 'central', 'southern', 'asia', 'saharan', 'africa', 'globally', 'child', 'affected', 'acute', 'undernutrition', 'wasting', 'weight', 'condition', 'generally', 'caused', 'limited', 'nutrient', 'intake', 'infection', 'wasted', 'child', 'lived', 'central', 'southern', 'asia', 'childhood', 'overweight', 'affected', 'child', 'worldwide', 'wasting', 'overweight', 'coexist', 'level', 'considered', 'called', 'double', 'burden', 'malnutrition', 'northern', 'africa', 'south', 'eastern', 'asia', 'rate', 'wasting', 'central_southern', 'asia_saharan', 'wasting_weight', 'central_southern', 'northern_africa', 'south_eastern']"
76,"['respectively', 'rate', 'overweight', 'respectively', 'government', 'expenditure', 'agricultural', 'sector', 'measured', 'government', 'expenditure', 'agriculture', 'divided', 'sector', 'fell', 'worldwide', 'respectively', 'agriculture', 'developing', 'country', 'fell', 'nearly', 'donor', 'sector', 'allocable', 'sharp', 'increase', 'food', 'price', 'concentrated', 'largely', 'saharan', 'africa', 'driven', 'production', 'shock', 'macroeconomic', 'difficulty', 'lingering', 'impact', 'prolonged', 'conflict', 'extreme', 'weather', 'condition', 'area', 'additional', 'factor', 'covid', 'pandemic', 'number', 'experiencing', 'hunger', 'globally', 'suffering', 'food', 'insecurity', 'rising', 'gradually', 'government_expenditure', 'agricultural_sector', 'government_expenditure', 'developing_country', 'donor_sector', 'food_price', 'saharan_africa', 'covid_pandemic', 'food_insecurity']"
77,"['pushed', 'chronic', 'hunger', 'addition', 'country', 'territory', 'world', 'continue', 'struggle', 'multiple', 'malnutrition', 'estimated', 'world', 'experienced', 'hunger', 'equivalent', 'world', 'population', 'increase', 'nearly', 'updated', 'estimate', 'publication', 'july', 'provide', 'recent', 'picture', 'effect', 'pandemic', 'hunger', 'estimated', 'world', 'population', 'affected', 'moderate', 'severe', 'food', 'insecurity', 'fastest', 'rise', 'recorded', 'latin', 'america', 'caribbean', 'highest', 'level', 'registered', 'saharan', 'africa', 'globally', 'country_territory', 'world_population', 'world_population', 'severe_food', 'latin_america', 'saharan_africa']"
78,"['figure', 'rise', 'result', 'continued', 'constraint', 'access', 'nutritious', 'food', 'essential', 'nutrition', 'service', 'pandemic', 'impact', 'manifest', 'wasting', 'weight', 'overweight', 'affected', 'child', 'respectively', 'wasting', 'condition', 'affected', 'pandemic', 'short', 'term', 'child', 'estimated', 'suffered', 'wasting', 'result', 'decline', 'household', 'wealth', 'disruption', 'availability', 'affordability', 'nutritious', 'food', 'essential', 'nutrition', 'service', 'childhood', 'overweight', 'weight', 'rise', 'country', 'territory', 'unhealthy', 'food', 'replaced', 'fresh', 'nutritious', 'foodstuff', 'restriction', 'movement', 'constrained', 'opportunity', 'physical', 'activity', 'long', 'period', 'wasting_weight', 'country_territory']"
79,"['global', 'prevalence', 'anaemia', 'woman', 'reproductive', 'pregnant', 'woman', 'pregnant', 'woman', 'prevalence', 'higher', 'central', 'southern', 'asia', 'woman', 'reproductive', 'agricultural', 'output', 'labour', 'scale', 'food', 'producer', 'limited', 'number', 'country', 'territory', 'surveyed', 'large', 'scale', 'producer', 'earn', 'time', 'annual', 'income', 'smallscale', 'producer', 'country', 'territory', 'surveyed', 'household', 'headed', 'male', 'achieve', 'higher', 'labour', 'productivity', 'earn', 'larger', 'annual', 'income', 'compared', 'female', 'counterpart', 'global', 'holding', 'plant', 'genetic', 'resource', 'food', 'agriculture', 'reached', 'accession', 'conserved', 'gene', 'bank', 'country', 'territory', 'regional', 'international', 'research', 'centre', 'woman_reproductive', 'central_southern', 'woman_reproductive', 'food_producer', 'country_territory', 'country_territory', 'labour_productivity', 'plant_genetic', 'food_agriculture', 'gene_bank', 'country_territory', 'regional_international']"
80,"['world', 'target', 'maintaining', 'genetic', 'diversity', 'farmed', 'domesticated', 'animal', 'field', 'gene', 'bank', 'risk', 'status', 'local', 'livestock', 'breed', 'remains', 'unknown', 'limited', 'number', 'surveyed', 'deemed', 'risk', 'extinction', 'sufficient', 'material', 'gene', 'bank', 'global', 'local', 'livestock', 'breed', 'reconstitute', 'breed', 'event', 'extinction', 'agricultural', 'remained', 'constant', 'percent', 'doubled', 'volume', 'disbursement', 'amounting', 'steady', 'downward', 'trend', 'observed', 'export', 'subsidy', 'outlay', 'notified', 'world', 'trade', 'organization', 'notified', 'annual', 'outlay', 'fell', 'peak', 'genetic_diversity', 'gene_bank', 'livestock_breed', 'risk_extinction', 'gene_bank', 'livestock_breed', 'downward_trend', 'export_subsidy', 'trade_organization']"
81,"['december', 'member', 'adopted', 'ministerial', 'decision', 'export', 'competition', 'formally', 'agreeing', 'eliminate', 'agricultural', 'export', 'subsidy', 'entitlement', 'global', 'level', 'number', 'country', 'territory', 'afflicted', 'food', 'price', 'decreased', 'notable', 'exception', 'country', 'central', 'southern', 'western', 'asia', 'northern', 'africa', 'owing', 'reduced', 'domestic', 'availability', 'staple', 'food', 'currency', 'depreciation', 'hunger', 'ensure', 'access', 'particular', 'poor', 'vulnerable', 'situation', 'including', 'infant', 'safe', 'nutritious', 'sufficient', 'food', 'round', 'malnutrition', 'including', 'achieving', 'internationally', 'agreed', 'target', 'stunting', 'wasting', 'child', 'address', 'nutritional', 'need', 'adolescent', 'girl', 'pregnant', 'lactating', 'woman', 'older', 'agricultural_export', 'country_territory', 'food_price', 'central_southern', 'western_asia', 'northern_africa', 'poor_vulnerable', 'safe_nutritious', 'internationally_agreed', 'adolescent_girl']"
82,"['ensure', 'sustainable', 'food', 'production', 'implement', 'resilient', 'agricultural', 'practice', 'increase', 'productivity', 'production', 'help', 'maintain', 'ecosystem', 'strengthen', 'capacity', 'adaptation', 'climate', 'change', 'extreme', 'weather', 'drought', 'flooding', 'disaster', 'progressively', 'improve', 'land', 'soil', 'quality', 'maintain', 'genetic', 'diversity', 'seed', 'cultivated', 'plant', 'farmed', 'domesticated', 'animal', 'related', 'wild', 'specie', 'including', 'soundly', 'diversified', 'seed', 'plant', 'bank', 'national', 'regional', 'international', 'level', 'promote', 'access', 'fair', 'equitable', 'sharing', 'benefit', 'arising', 'utilization', 'genetic', 'resource', 'associated', 'traditional', 'knowledge', 'internationally', 'agreed', 'increase', 'investment', 'including', 'enhanced', 'international', 'cooperation', 'rural', 'infrastructure', 'agricultural', 'research', 'extension', 'service', 'technology', 'development', 'plant', 'livestock', 'gene', 'bank', 'order', 'enhance', 'agricultural', 'productive', 'capacity', 'developing', 'country', 'particular', 'developed', 'country', 'correct', 'prevent', 'trade', 'restriction', 'distortion', 'world', 'agricultural', 'market', 'including', 'parallel', 'elimination', 'agricultural', 'export', 'subsidy', 'export', 'measure', 'equivalent', 'effect', 'accordance', 'mandate', 'doha', 'development', 'round', 'adopt', 'measure', 'ensure', 'proper', 'functioning', 'food', 'commodity', 'market', 'derivative', 'facilitate', 'timely', 'access', 'market', 'information', 'including', 'food', 'reserve', 'order', 'help', 'limit', 'extreme', 'food', 'price', 'volatility', 'food_production', 'resilient_agricultural', 'climate_change', 'land_soil', 'genetic_diversity', 'national_regional', 'fair_equitable', 'sharing_benefit', 'arising_utilization', 'genetic_resource', 'internationally_agreed', 'including_enhanced', 'international_cooperation', 'gene_bank', 'order_enhance', 'developing_country', 'particular_developed', 'distortion_world', 'agricultural_market', 'agricultural_export', 'export_measure', 'food_price']"
83,"['goal', 'ensure', 'healthy', 'life', 'promote', 'ensuring', 'healthy', 'life', 'promoting', 'essential', 'sustainable', 'development', 'significant', 'stride', 'increasing', 'life', 'expectancy', 'reducing', 'common', 'killer', 'associated', 'child', 'maternal', 'mortality', 'working', 'achieving', 'target', 'maternal', 'death', 'live', 'require', 'improvement', 'skilled', 'delivery', 'care', 'achieving', 'target', 'reducing', 'premature', 'death', 'incommunicable', 'disease', 'require', 'efficient', 'technology', 'clean', 'fuel', 'cooking', 'education', 'risk', 'tobacco', 'effort', 'needed', 'fully', 'eradicate', 'wide', 'range', 'disease', 'address', 'different', 'persistent', 'emerging', 'health', 'issue', 'focusing', 'providing', 'efficient', 'funding', 'health', 'improved', 'sanitation', 'hygiene', 'access', 'physician', 'reduce', 'ambient', 'pollution', 'significant', 'progress', 'helping', 'save', 'life', 'sustainable_development', 'life_expectancy', 'maternal_mortality', 'maternal_death', 'premature_death', 'clean_fuel', 'effort_needed', 'improved_sanitation', 'ambient_pollution']"
84,"['fewer', 'child', 'child', 'fifth', 'birthday', 'measles', 'vaccine', 'averted', 'nearly', 'death', 'despite', 'global', 'progress', 'increasing', 'proportion', 'child', 'death', 'saharan', 'africa', 'southern', 'asia', 'death', 'child', 'occur', 'region', 'child', 'born', 'poverty', 'twice', 'wealthier', 'family', 'child', 'educated', 'mother', 'mother', 'primary', 'schooling', 'survive', 'child', 'mother', 'education', 'maternal', 'health', 'maternal', 'mortality', 'fallen', 'eastern', 'asia', 'northern', 'africa', 'southern', 'asia', 'maternal', 'mortality', 'declined', 'measles_vaccine', 'saharan_africa', 'southern_asia', 'maternal_mortality', 'eastern_asia', 'northern_africa', 'southern_asia', 'maternal_mortality']"
85,"['woman', 'receiving', 'antenatal', 'care', 'developing', 'region', 'antenatal', 'care', 'woman', 'developing', 'region', 'receive', 'recommended', 'health', 'care', 'need', 'fewer', 'teen', 'having', 'child', 'developing', 'region', 'progress', 'slowed', 'large', 'increase', 'contraceptive', 'matched', 'need', 'family', 'planning', 'slowly', 'woman', 'demand', 'increasing', 'rapid', 'pace', 'malaria', 'disease', 'globally', 'living', 'accessing', 'antiretroviral', 'therapy', 'newly', 'infected', 'died', 'related', 'illness', 'developing_region', 'developing_region', 'health_care', 'developing_region', 'family_planning', 'related_illness']"
86,"['infected', 'start', 'epidemic', 'died', 'related', 'illness', 'start', 'epidemic', 'tuberculosis', 'remains', 'leading', 'cause', 'death', 'living', 'accounting', 'related', 'death', 'globally', 'adolescent', 'girl', 'young', 'woman', 'face', 'gender', 'based', 'inequality', 'exclusion', 'discrimination', 'violence', 'risk', 'acquiring', 'leading', 'cause', 'death', 'woman', 'reproductive', 'worldwide', 'leading', 'cause', 'death', 'adolescent', 'aged', 'africa', 'second', 'common', 'cause', 'death', 'adolescent', 'globally', 'malaria', 'death', 'averted', 'primarily', 'child', 'saharan', 'africa', 'related_illness', 'leading_cause', 'adolescent_girl', 'young_woman', 'leading_cause', 'woman_reproductive', 'leading_cause', 'cause_death', 'saharan_africa']"
87,"['reduce', 'global', 'maternal', 'mortality', 'ratio', 'live', 'preventable', 'death', 'newborn', 'child', 'country', 'aiming', 'reduce', 'neonatal', 'mortality', 'live', 'mortality', 'live', 'epidemic', 'tuberculosis', 'malaria', 'neglected', 'tropical', 'disease', 'combat', 'hepatitis', 'water', 'borne', 'disease', 'communicable', 'disease', 'reduce', 'premature', 'mortality', 'communicable', 'disease', 'prevention', 'treatment', 'promote', 'mental', 'health', 'strengthen', 'prevention', 'treatment', 'substance', 'abuse', 'including', 'narcotic', 'drug', 'abuse', 'harmful', 'alcohol', 'halve', 'number', 'global', 'death', 'injury', 'road', 'traffic', 'accident', 'maternal_mortality', 'newborn_child', 'neonatal_mortality', 'tuberculosis_malaria', 'neglected_tropical', 'water_borne', 'communicable_disease', 'premature_mortality', 'communicable_disease', 'prevention_treatment', 'mental_health', 'prevention_treatment', 'road_traffic']"
88,"['achieve', 'universal', 'health', 'coverage', 'including', 'financial', 'risk', 'protection', 'access', 'quality', 'essential', 'health', 'care', 'service', 'access', 'safe', 'effective', 'quality', 'affordable', 'essential', 'medicine', 'vaccine', 'substantially', 'reduce', 'number', 'death', 'illness', 'hazardous', 'chemical', 'water', 'soil', 'pollution', 'contamination', 'strengthen', 'implementation', 'world', 'health', 'organization', 'framework', 'convention', 'tobacco', 'control', 'country', 'appropriate', 'support', 'research', 'development', 'vaccine', 'medicine', 'communicable', 'noncommunicable', 'disease', 'primarily', 'affect', 'developing', 'country', 'provide', 'access', 'affordable', 'essential', 'medicine', 'vaccine', 'accordance', 'doha', 'declaration', 'trip', 'agreement', 'public', 'health', 'affirms', 'right', 'developing', 'country', 'provision', 'agreement', 'trade', 'related', 'aspect', 'intellectual', 'property', 'right', 'flexibility', 'protect', 'public', 'health', 'particular', 'provide', 'access', 'medicine', 'achieve_universal', 'essential_health', 'access_safe', 'essential_medicine', 'substantially_reduce', 'hazardous_chemical', 'water_soil', 'health_organization', 'framework_convention', 'research_development', 'developing_country', 'access_affordable', 'essential_medicine', 'developing_country', 'trade_related']"
89,"['strengthen', 'capacity', 'country', 'particular', 'developing', 'country', 'early', 'warning', 'risk', 'reduction', 'management', 'national', 'global', 'health', 'risk', 'spending', 'immunization', 'coverage', 'save', 'childrens', 'life', 'good', 'health', 'matter', 'whats', 'goal', 'ensure', 'healthy', 'life', 'promote', 'ensuring', 'healthy', 'life', 'promoting', 'wellbeing', 'important', 'building', 'prosperous', 'society', 'major', 'progress', 'improving', 'health', 'maternal', 'child', 'mortality', 'rate', 'reduced', 'life', 'expectancy', 'continues', 'increase', 'globally', 'fight', 'infectious', 'disease', 'steady', 'progress', 'disease', 'malaria', 'tuberculosis', 'progress', 'slowed', 'stalled', 'developing_country', 'early_warning', 'risk_reduction', 'whats_goal', 'mortality_rate', 'life_expectancy', 'infectious_disease']"
90,"['rich', 'poor', 'country', 'alike', 'health', 'emergency', 'push', 'bankruptcy', 'poverty', 'concerted', 'effort', 'required', 'achieve', 'universal', 'health', 'coverage', 'sustainable', 'financing', 'health', 'address', 'growing', 'burden', 'communicable', 'disease', 'tackle', 'antimicrobial', 'resistance', 'environmental', 'factor', 'contributing', 'health', 'progress', 'major', 'progress', 'area', 'including', 'child', 'maternal', 'health', 'addressing', 'despite', 'progress', 'maternal', 'mortality', 'continues', 'affect', 'woman', 'middle', 'income', 'country', 'number', 'death', 'child', 'dropped', 'death', 'occurred', 'saharan', 'africa', 'southern', 'asia', 'stark', 'disparity', 'persist', 'region', 'country', 'concerted_effort', 'achieve_universal', 'communicable_disease', 'despite_progress', 'maternal_mortality', 'middle_income', 'death_occurred', 'saharan_africa', 'southern_asia']"
91,"['healthy', 'foundation', 'healthy', 'economy', 'example', 'spent', 'expanding', 'immunization', 'coverage', 'influenza', 'pneumonia', 'preventable', 'disease', 'save', 'childrens', 'life', 'past', 'decade', 'improvement', 'health', 'heath', 'care', 'increase', 'income', 'growth', 'poorest', 'country', 'cost', 'inaction', 'greatermillions', 'child', 'continue', 'preventable', 'disease', 'woman', 'pregnancy', 'childbirth', 'health', 'care', 'cost', 'continue', 'plunge', 'poverty', 'noncommunicable', 'disease', 'cost', 'middle', 'income', 'country', 'trillion', 'help', 'start', 'promoting', 'protecting', 'health', 'health', 'making', 'informed', 'choice', 'practicing', 'safe', 'vaccinating', 'child', 'past_decade', 'health_care', 'middle_income']"
92,"['hold', 'government', 'local', 'leader', 'decisionmakers', 'accountable', 'commitment', 'improve', 'access', 'health', 'health', 'care', 'major', 'progress', 'improving', 'health', 'increasing', 'life', 'expectancy', 'reducing', 'maternal', 'child', 'mortality', 'fighting', 'leading', 'communicable', 'disease', 'progress', 'stalled', 'happening', 'fast', 'regard', 'addressing', 'major', 'disease', 'malaria', 'tuberculosis', 'global', 'population', 'access', 'essential', 'health', 'service', 'suffer', 'undue', 'financial', 'hardship', 'potentially', 'pushing', 'extreme', 'poverty', 'concerted', 'effort', 'required', 'achieve', 'universal', 'health', 'coverage', 'sustainable', 'financing', 'health', 'address', 'growing', 'burden', 'communicable', 'disease', 'including', 'mental', 'health', 'tackle', 'antimicrobial', 'resistance', 'determinant', 'health', 'pollution', 'inadequate', 'water', 'sanitation', 'health_care', 'life_expectancy', 'communicable_disease', 'essential_health', 'extreme_poverty', 'concerted_effort', 'achieve_universal', 'communicable_disease', 'mental_health', 'water_sanitation']"
93,"['estimated', 'woman', 'world', 'died', 'complication', 'pregnancy', 'childbirth', 'death', 'occurred', 'middle', 'income', 'country', 'saharan', 'africa', 'death', 'preventable', 'appropriate', 'management', 'care', 'globally', 'took', 'place', 'assistance', 'skilled', 'attendant', 'significant', 'improvement', 'coverage', 'skilled', 'attendant', 'saharan', 'africa', 'mortality', 'rate', 'fell', 'death', 'live', 'reduction', 'death', 'overall', 'reduction', 'death', 'live', 'number', 'death', 'dropped', 'death_occurred', 'middle_income', 'saharan_africa', 'saharan_africa', 'mortality_rate', 'death_live', 'death_live']"
94,"['occurred', 'month', 'life', 'crucial', 'period', 'child', 'survival', 'global', 'neonatal', 'mortality', 'rate', 'continued', 'decline', 'long', 'downward', 'trend', 'death', 'live', 'reduction', 'immunization', 'save', 'life', 'widely', 'recognized', 'world', 'successful', 'cost', 'effective', 'health', 'intervention', 'coverage', 'required', 'vaccine', 'prevents', 'diphtheria', 'tetanus', 'pertussis', 'remained', 'unchanged', 'estimated', 'child', 'receive', 'vaccine', 'life', 'putting', 'risk', 'potentially', 'fatal', 'disease', 'adolescent', 'fertility', 'declined', 'adolescent', 'woman', 'neonatal_mortality', 'continued_decline', 'downward_trend', 'death_live', 'remained_unchanged']"
95,"['infectious', 'disease', 'strong', 'steady', 'domestic', 'international', 'commitment', 'funding', 'fuelled', 'acceleration', 'evidence', 'informed', 'prevention', 'testing', 'treatment', 'programme', 'result', 'incidence', 'saharan', 'africa', 'adult', 'aged', 'declined', 'infection', 'uninfected', 'rate', 'global', 'incidence', 'adult', 'aged', 'declined', 'overall', 'short', 'decline', 'required', 'meet', 'target', 'tuberculosis', 'remains', 'leading', 'cause', 'health', 'death', 'estimated', 'fell', 'tuberculosis', 'burden', 'falling', 'globally', 'incidence', 'tuberculosis', 'continued', 'decline', 'relapse', 'tuberculosis', 'mortality', 'rate', 'negative', 'fell', 'infectious_disease', 'saharan_africa', 'adult_aged', 'infection_uninfected', 'adult_aged', 'required_meet', 'leading_cause', 'continued_decline', 'mortality_rate']"
96,"['decade', 'steady', 'advance', 'fighting', 'malaria', 'progress', 'stalled', 'significant', 'gain', 'reducing', 'number', 'malaria', 'worldwide', 'period', 'saharan', 'africa', 'continues', 'carry', 'heaviest', 'burden', 'disease', 'accounting', 'global', 'malaria', 'burden', 'worryingly', 'estimated', 'malaria', 'highest', 'burden', 'african', 'country', 'compared', 'previous', 'estimated', 'worldwide', 'living', 'hepatitis', 'virus', 'hepatitis', 'virus', 'infection', 'widespread', 'hepatitis', 'vaccine', 'infant', 'considerably', 'reduced', 'incidence', 'chronic', 'infection', 'reflected', 'decline', 'hepatitis', 'prevalence', 'child', 'vaccine', 'saharan_africa', 'african_country']"
97,"['reported', 'requiring', 'global', 'coverage', 'pneumococcal', 'conjugate', 'vaccine', 'potential', 'significantly', 'reduce', 'death', 'child', 'reach', 'measles', 'vaccine', 'required', 'prevent', 'disease', 'illness', 'disability', 'death', 'caused', 'complication', 'associated', 'coverage', 'second', 'dose', 'measles', 'vaccine', 'insufficient', 'prevent', 'highly', 'contagious', 'disease', 'expanding', 'access', 'modern', 'contraceptive', 'method', 'essential', 'ensuring', 'universal', 'access', 'sexual', 'reproductive', 'health', 'care', 'service', 'globally', 'proportion', 'woman', 'reproductive', 'need', 'family', 'planning', 'satisfied', 'modern', 'contraceptive', 'method', 'continued', 'increase', 'slowly', 'mass', 'individual', 'treatment', 'care', 'neglected', 'tropical', 'disease', 'significantly_reduce', 'measles_vaccine', 'measles_vaccine', 'modern_contraceptive', 'universal_access', 'sexual_reproductive', 'health_care', 'woman_reproductive', 'family_planning', 'modern_contraceptive', 'mass_individual', 'treatment_care', 'neglected_tropical']"
98,"['improved', 'surveillance', 'meant', 'population', 'requiring', 'intervention', 'disease', 'identified', 'requiring', 'treatment', 'care', 'developed', 'country', 'represented', 'country', 'population', 'communicable', 'disease', 'mental', 'health', 'environmental', 'risk', 'probability', 'dying', 'main', 'communicable', 'disease', 'cardiovascular', 'disease', 'cancer', 'chronic', 'respiratory', 'disease', 'diabetes', 'risk', 'remains', 'markedly', 'higher', 'globally', 'compared', 'woman', 'progress', 'reducing', 'global', 'suicide', 'rate', 'suicide', 'remains', 'second', 'highest', 'cause', 'death', 'aged', 'globally', 'suicide', 'middle', 'income', 'country', 'treatment_care', 'developed_country', 'communicable_disease', 'mental_health', 'communicable_disease', 'cardiovascular_disease', 'chronic_respiratory', 'cause_death', 'middle_income']"
99,"['prevalence', 'fell', 'faster', 'woman', 'compared', 'prevalence', 'fell', 'despite', 'positive', 'trend', 'number', 'dying', 'tobacco', 'related', 'illness', 'estimated', 'number', 'road', 'traffic', 'death', 'climbed', 'road', 'traffic', 'injury', 'leading', 'cause', 'death', 'child', 'young', 'adult', 'aged', 'pollution', 'ambient', 'household', 'increase', 'risk', 'cardiovascular', 'respiratory', 'disease', 'death', 'worldwide', 'saharan', 'africa', 'asia', 'oceania', 'excluding', 'australia', 'zealand', 'highest', 'mortality', 'rate', 'associated', 'pollution', 'large', 'proportion', 'population', 'rely', 'polluting', 'fuel', 'technology', 'cooking', 'related_illness', 'road_traffic', 'road_traffic', 'leading_cause', 'adult_aged', 'respiratory_disease', 'saharan_africa', 'oceania_excluding', 'australia_zealand', 'mortality_rate', 'polluting_fuel', 'technology_cooking']"
100,"['health', 'funding', 'official', 'development', 'assistance', 'basic', 'health', 'donor', 'term', 'reached', 'spent', 'malaria', 'control', 'tuberculosis', 'control', 'infectious', 'disease', 'excluding', 'available', 'indicate', 'close', 'country', 'fewer', 'medical', 'doctor', 'fewer', 'nursing', 'midwifery', 'personnel', 'developed', 'country', 'fewer', 'medical', 'doctor', 'fewer', 'dentist', 'pharmacist', 'fewer', 'nursing', 'midwifery', 'personnel', 'today', 'living', 'healthier', 'life', 'past', 'decade', 'health_funding', 'official_development', 'infectious_disease', 'available_indicate', 'medical_doctor', 'developed_country', 'medical_doctor', 'past_decade']"
101,"['overcoming', 'disease', 'health', 'require', 'concerted', 'sustained', 'effort', 'focusing', 'population', 'group', 'region', 'neglected', 'reproductive', 'maternal', 'newborn', 'child', 'health', 'maternal', 'mortality', 'ratio', 'declined', 'woman', 'world', 'died', 'complication', 'pregnancy', 'childbirth', 'period', 'live', 'worldwide', 'occurred', 'assistance', 'skilled', 'health', 'personnel', 'globally', 'mortality', 'rate', 'dropped', 'neonatal', 'mortality', 'rate', 'fell', 'period', 'number', 'death', 'dropped', 'region', 'facing', 'greatest', 'health', 'challenge', 'progress', 'impressive', 'reproductive_maternal', 'newborn_child', 'maternal_mortality', 'mortality_rate', 'neonatal_mortality']"
102,"['global', 'adolescent', 'rate', 'woman', 'aged', 'compared', 'highest', 'rate', 'saharan', 'africa', 'infectious', 'disease', 'communicable', 'disease', 'globally', 'incidence', 'declined', 'uninfected', 'woman', 'reproductive', 'saharan', 'africa', 'rate', 'higher', 'uninfected', 'malaria', 'reported', 'versus', 'tuberculosis', 'compared', 'hepatitis', 'prevalence', 'declined', 'child', 'vaccine', 'reported', 'require', 'mass', 'individual', 'treatment', 'care', 'neglected', 'tropical', 'disease', 'woman_aged', 'saharan_africa', 'infectious_disease', 'communicable_disease', 'woman_reproductive', 'saharan_africa', 'mass_individual', 'treatment_care', 'neglected_tropical']"
103,"['unsafe', 'drinking', 'water', 'unsafe', 'sanitation', 'lack', 'hygiene', 'continue', 'major', 'contributor', 'global', 'mortality', 'resulting', 'death', 'death', 'mainly', 'caused', 'diarrhoeal', 'disease', 'malnutrition', 'intestinal', 'nematode', 'infection', 'globally', 'died', 'cardiovascular', 'disease', 'cancer', 'diabetes', 'chronic', 'respiratory', 'disease', 'probability', 'dying', 'cause', 'household', 'outdoor', 'pollution', 'death', 'worldwide', 'health', 'funding', 'globally', 'world', 'population', 'spent', 'tenth', 'household', 'budget', 'health', 'service', 'official', 'development', 'assistance', 'basic', 'health', 'donor', 'term', 'reaching', 'drinking_water', 'cardiovascular_disease', 'cancer_diabetes', 'chronic_respiratory', 'health_funding', 'world_population', 'official_development']"
104,"['available', 'indicate', 'close', 'country', 'developed', 'country', 'ldcs', 'physician', 'fewer', 'nurse', 'midwife', 'impressive', 'advancement', 'health', 'meet', 'sustainable', 'development', 'goal', 'health', 'target', 'progress', 'accelerated', 'particular', 'region', 'highest', 'burden', 'disease', 'reproductive', 'maternal', 'newborn', 'child', 'health', 'global', 'maternal', 'mortality', 'ratio', 'stood', 'maternal', 'death', 'live', 'achieving', 'target', 'maternal', 'death', 'requires', 'annual', 'rate', 'reduction', 'double', 'annual', 'rate', 'progress', 'achieved', 'maternal', 'death', 'prevented', 'available_indicate', 'developed_country', 'nurse_midwife', 'sustainable_development', 'reproductive_maternal', 'newborn_child', 'maternal_mortality', 'maternal_death', 'maternal_death', 'annual_rate', 'annual_rate', 'maternal_death']"
105,"['saharan', 'africa', 'rate', 'live', 'mortality', 'rate', 'child', 'globally', 'death', 'live', 'rate', 'represents', 'reduction', 'mortality', 'child', 'remains', 'saharan', 'africa', 'rate', 'death', 'live', 'child', 'vulnerable', 'life', 'neonatal', 'period', 'global', 'neonatal', 'mortality', 'rate', 'death', 'live', 'decrease', 'death', 'live', 'neonatal', 'mortality', 'highest', 'central', 'southern', 'asia', 'saharan', 'africa', 'death', 'live', 'region', 'preventing', 'unintended', 'pregnancy', 'reducing', 'adolescent', 'childbearing', 'universal', 'access', 'sexual', 'reproductive', 'health', 'care', 'crucial', 'health', 'woman', 'child', 'adolescent', 'saharan_africa', 'mortality_rate', 'death_live', 'saharan_africa', 'death_live', 'neonatal_mortality', 'death_live', 'death_live', 'neonatal_mortality', 'central_southern', 'asia_saharan', 'death_live', 'universal_access', 'sexual_reproductive', 'health_care', 'child_adolescent']"
106,"['progress', 'substantial', 'developed', 'country', 'rise', 'percentage', 'point', 'globally', 'adolescent', 'rate', 'female', 'aged', 'declined', 'northern', 'america', 'southern', 'asia', 'dropped', 'adolescent', 'rate', 'remains', 'country', 'adolescent', 'girl', 'infectious', 'disease', 'major', 'advance', 'combating', 'infectious', 'disease', 'globally', 'human', 'virus', 'infection', 'uninfected', 'child', 'infection', 'represents', 'decline', 'respectively', 'incidence', 'infection', 'remained', 'highest', 'saharan', 'africa', 'developed_country', 'percentage_point', 'northern_america', 'southern_asia', 'adolescent_girl', 'infectious_disease', 'infectious_disease', 'infection_uninfected', 'saharan_africa']"
107,"['tuberculosis', 'reported', 'worldwide', 'represents', 'decline', 'global', 'malaria', 'incidence', 'rate', 'risk', 'decrease', 'required', 'mass', 'individual', 'treatment', 'care', 'neglected', 'tropical', 'disease', 'decline', 'death', 'attributed', 'hepatitis', 'including', 'death', 'owing', 'hepatitis', 'hepatitis', 'prevented', 'vaccination', 'global', 'coverage', 'vaccination', 'disease', 'child', 'major', 'risk', 'factor', 'infectious', 'disease', 'mortality', 'lack', 'safe', 'water', 'sanitation', 'hygiene', 'wash', 'service', 'affect', 'saharan', 'africa', 'central', 'southern', 'asia', 'malaria_incidence', 'mass_individual', 'treatment_care', 'neglected_tropical', 'infectious_disease', 'water_sanitation', 'saharan_africa', 'central_southern']"
